REMOVE12a,REMOVE12b,PLAYER_ID,PLAYER,Total_Putts_AVG,REMOVE12c,REMOVE12d,REMOVE12e
163,-1,47663,Kevin Dougherty,29.65,1186,40,26
164,-1,34076,Joel Dahmen,29.66,1720,58,24
165,-1,48699,Callum Tarren,29.72,1367,46,23
166,-1,37212,Paul Barjon,29.76,1012,34,25
167,-1,36326,David Lipsky,29.82,1342,45,24
168,-1,27770,Camilo Villegas,29.84,1104,37,23
169,-1,36871,Matt NeSmith,29.86,1493,50,24
170,-1,54576,Patrick Fishburn,29.87,1135,38,24
171,-1,47988,Nick Hardy,29.91,1705,57,22
172,-1,27064,Jhonattan Vegas,29.92,1137,38,26
173,-1,35310,Lanto Griffin,29.93,1317,44,26
174,-1,48319,Tom Whitney,29.95,1258,42,25
175,-1,51890,Greyson Sigg,29.96,1558,52,23
176,-1,45242,Kevin Yu,30.06,1533,51,24
177,-1,40026,Daniel Berger,30.27,1332,44,26
178,-1,51070,Vincent Norrman,30.82,1387,45,23
