REMOVE17a,REMOVE17b,PLAYER_ID,PLAYER,SG_APP_AVG,REMOVE17c,REMOVE17d
129,-1,34099,Harris English,-0.233,-13.754,59
130,-1,51349,Nico Echavarria,-0.235,-11.506,49
131,-1,46340,Alex Smalley,-0.248,-9.438,38
132,-1,27936,Martin Laird,-0.273,-10.649,39
133,-1,48867,Matti Schmid,-0.286,-11.165,39
134,-1,48699,Callum Tarren,-0.295,-12.109,41
135,-1,32102,Rickie Fowler,-0.296,-16.558,56
136,-1,34466,Peter Malnati,-0.302,-16.004,53
137,-1,33408,Tyson Alexander,-0.309,-13.595,44
138,-1,35506,Mackenzie Hughes,-0.316,-19.282,61
138,-1,49947,Taylor Moore,-0.316,-19.285,61
138,-1,36699,Patrick Rodgers,-0.316,-18.953,60
141,-1,32791,K.H. Lee,-0.318,-13.045,41
142,-1,37378,Min Woo Lee,-0.326,-14.662,45
143,-1,54576,Patrick Fishburn,-0.328,-9.519,29
143,-1,55893,Sam Stevens,-0.328,-18.063,55
145,-1,51070,Vincent Norrman,-0.342,-14.348,42
146,-1,51894,Vince Whaley,-0.352,-11.611,33
147,-1,52514,Trace Crowe,-0.368,-11.047,30
147,-1,27770,Camilo Villegas,-0.368,-11.420,31
149,-1,22371,Aaron Baddeley,-0.372,-15.985,43
150,-1,28089,Jason Day,-0.374,-19.092,51
151,-1,47663,Kevin Dougherty,-0.376,-13.144,35
151,-1,50188,S.H. Kim,-0.376,-24.457,65
153,-1,55789,Taylor Montgomery,-0.380,-14.070,37
154,-1,47995,Davis Riley,-0.386,-19.673,51
155,-1,55708,Hayden Buckley,-0.388,-18.222,47
156,-1,47347,Adam Schenk,-0.393,-23.607,60
157,-1,50497,Adrien Dumont de Chassart,-0.402,-16.481,41
158,0,29221,Webb Simpson,-0.409,-16.346,40
159,0,54421,Garrick Higgo,-0.410,-18.027,44
160,0,34374,Erik Barnes,-0.412,-14.003,34
161,0,59836,Pierceson Coody,-0.418,-17.157,41
162,0,35461,Beau Hossler,-0.420,-23.110,55
163,0,45609,Tyler Duncan,-0.421,-15.594,37
164,0,22405,Justin Rose,-0.427,-20.068,47
165,0,59095,Chris Gotterup,-0.465,-21.400,46
166,0,23320,Ryan Palmer,-0.475,-15.205,32
167,0,47983,Chad Ramey,-0.489,-21.016,43
168,0,24980,Scott Gutschewski,-0.553,-13.828,25
169,-1,23108,Matt Kuchar,-0.562,-24.736,44
170,-1,38991,Alejandro Tosti,-0.564,-24.795,44
171,-1,51600,Jimmy Stanger,-0.570,-14.826,26
172,-1,28420,Ryan Brehm,-0.618,-20.409,33
173,-1,29478,Kevin Kisner,-0.702,-23.866,34
174,-1,50493,Justin Suh,-0.755,-29.435,39
175,-1,48119,Ben Taylor,-0.865,-32.014,37
176,-1,27649,Brandt Snedeker,-0.904,-35.242,39
177,-1,37212,Paul Barjon,-0.911,-26.420,29
178,-1,52372,Cameron Champ,-1.046,-32.411,31
