REMOVE6a,REMOVE6b,PLAYER_ID,PLAYER,GIR%,REMOVE6c,REMOVE6d,GIR_RELATIVE/PAR
134,4,33653,Thomas Detry,64.04%,657,1026,-0.32
135,5,52514,Trace Crowe,63.96%,426,666,-0.33
136,0,33399,Adam Hadwin,63.94%,679,1062,-0.30
137,-12,57362,Austin Eckroat,63.89%,736,1152,-0.29
137,-5,29936,Ryan Fox,63.89%,690,1080,-0.30
137,5,48699,Callum Tarren,63.89%,529,828,-0.26
140,4,40058,Zac Blair,63.78%,574,900,-0.27
140,-13,37378,Min Woo Lee,63.78%,597,936,-0.31
142,3,30927,Brendon Todd,63.70%,860,1350,-0.29
143,3,23320,Ryan Palmer,63.58%,412,648,-0.24
144,4,34374,Erik Barnes,63.53%,446,702,-0.24
145,2,28089,Jason Day,63.48%,697,1098,-0.33
146,-4,47483,Will Zalatoris,63.46%,594,936,-0.25
147,-8,33968,Thorbjørn Olesen,63.41%,525,828,-0.30
148,2,45157,Cam Davis,63.39%,696,1098,-0.30
149,-8,39977,Max Homa,63.25%,740,1170,-0.29
149,3,46441,Robby Shelton,63.25%,592,936,-0.30
151,0,35450,Patrick Cantlay,63.10%,602,954,-0.32
151,2,57900,Chandler Phillips,63.10%,602,954,-0.32
151,2,51894,Vince Whaley,63.10%,477,756,-0.30
154,-5,32102,Rickie Fowler,63.08%,738,1170,-0.27
155,0,24980,Scott Gutschewski,62.85%,362,576,-0.23
156,0,59866,Nick Dunlap,62.75%,576,918,-0.33
156,-1,25493,Nick Taylor,62.75%,689,1098,-0.28
158,1,28420,Ryan Brehm,62.64%,451,720,-0.25
159,6,22405,Justin Rose,62.63%,620,990,-0.29
160,0,37212,Paul Barjon,62.58%,383,612,-0.26
161,0,55454,Carl Yuan,62.50%,495,792,-0.26
162,0,34213,Grayson Murray,62.43%,427,684,-0.32
163,-5,31323,Gary Woodland,62.40%,629,1008,-0.28
164,-1,27649,Brandt Snedeker,62.17%,470,756,-0.22
165,-1,22371,Aaron Baddeley,62.15%,537,864,-0.29
166,0,33408,Tyson Alexander,62.02%,547,882,-0.32
167,-10,45522,Christiaan Bezuidenhout,61.94%,669,1080,-0.30
168,-1,35506,Mackenzie Hughes,61.53%,742,1206,-0.33
169,0,29221,Webb Simpson,61.38%,453,738,-0.27
170,2,50188,S.H. Kim,61.04%,802,1314,-0.35
171,0,47591,Eric Cole,60.97%,867,1422,-0.32
172,-2,47993,Denny McCarthy,60.95%,779,1278,-0.32
173,0,34466,Peter Malnati,60.82%,624,1026,-0.28
174,0,29478,Kevin Kisner,60.49%,392,648,-0.23
175,0,55789,Taylor Montgomery,60.40%,424,702,-0.31
176,0,48119,Ben Taylor,60.38%,413,684,-0.26
177,-9,34310,Alexander Björk,60.23%,412,684,-0.26
178,-1,23108,Matt Kuchar,59.51%,482,810,-0.25
