RANK(8),MOVEMENT(8),PLAYER_ID,PLAYER,AVG(8),SG:OTT(8),SG:APR(8),SG:ARG(8),MEASURED ROUNDS(8)
149,2,36884,Ben Kohles,-0.483,-0.076,-0.051,-0.356,48
150,-23,32070,Rafael Campos,-0.495,-0.159,0.001,-0.337,29
151,3,31323,Gary Woodland,-0.509,-0.063,-0.057,-0.389,49
152,6,59836,Pierceson Coody,-0.569,0.060,-0.418,-0.211,41
153,-1,22405,Justin Rose,-0.578,-0.130,-0.427,-0.021,47
154,-1,46113,Ryan McCormick,-0.632,-0.617,0.115,-0.130,33
155,-5,32102,Rickie Fowler,-0.647,-0.301,-0.296,-0.050,56
156,7,48699,Callum Tarren,-0.654,-0.173,-0.295,-0.185,41
157,2,47983,Chad Ramey,-0.677,-0.140,-0.489,-0.048,43
158,-1,51894,Vince Whaley,-0.721,-0.569,-0.352,0.200,33
159,-4,23108,Matt Kuchar,-0.736,-0.370,-0.562,0.196,44
160,0,22371,Aaron Baddeley,-0.737,-0.781,-0.372,0.415,43
161,0,52372,Cameron Champ,-0.743,0.883,-1.046,-0.580,31
162,-6,54421,Garrick Higgo,-0.763,-0.198,-0.410,-0.156,44
163,-1,34466,Peter Malnati,-0.842,-0.559,-0.302,0.018,53
164,1,33408,Tyson Alexander,-0.846,-0.563,-0.309,0.027,44
165,-4,47079,Harrison Endycott,-0.894,-0.349,-0.407,-0.137,24
166,-2,47995,Davis Riley,-0.939,-0.426,-0.386,-0.127,51
167,0,34310,Alexander Björk,-1.032,-0.565,-0.201,-0.266,35
168,-2,55789,Taylor Montgomery,-1.095,-0.907,-0.380,0.193,37
169,-1,50497,Adrien Dumont de Chassart,-1.096,-0.431,-0.402,-0.263,41
170,-1,28420,Ryan Brehm,-1.174,0.011,-0.618,-0.567,33
171,0,50493,Justin Suh,-1.398,-0.177,-0.755,-0.465,39
172,3,48119,Ben Taylor,-1.507,-0.685,-0.865,0.044,37
173,0,27649,Brandt Snedeker,-1.526,-0.560,-0.904,-0.062,39
174,-2,27770,Camilo Villegas,-1.531,-1.063,-0.368,-0.099,31
175,-5,34374,Erik Barnes,-1.543,-1.099,-0.412,-0.032,34
176,-2,37212,Paul Barjon,-1.706,0.137,-0.911,-0.932,29
177,0,29478,Kevin Kisner,-2.067,-0.856,-0.702,-0.510,34
