RANK(1),MOVEMENT(1),PLAYER_ID,PLAYER,AVG(1),TOTAL SG:PUTTING(1),MEASURED ROUNDS(1)
1,0,55789,Taylor Montgomery,0.842,31.161,37
2,0,47993,Denny McCarthy,0.705,45.129,64
3,7,59836,Pierceson Coody,0.686,28.137,41
4,4,50493,Justin Suh,0.639,24.937,39
5,2,28089,Jason Day,0.614,31.330,51
6,-3,22371,Aaron Baddeley,0.610,26.220,43
6,0,33653,Thomas Detry,0.610,33.538,55
8,-4,34310,Alexander Björk,0.605,21.192,35
8,5,35506,Mackenzie Hughes,0.605,36.883,61
10,2,48081,Xander Schauffele,0.581,30.810,53
11,-2,45522,Christiaan Bezuidenhout,0.562,31.460,56
12,3,40250,Taylor Pendrith,0.555,28.323,51
13,-8,29420,Billy Horschel,0.551,28.082,51
14,-3,34099,Harris English,0.550,32.473,59
15,-1,39327,Ben Silverman,0.536,28.412,53
16,10,51766,Wyndham Clark,0.512,24.577,48
17,1,35461,Beau Hossler,0.510,28.051,55
18,-2,50188,S.H. Kim,0.505,32.852,65
19,2,60004,Jacob Bridgeman,0.487,18.021,37
20,0,34466,Peter Malnati,0.470,24.891,53
21,-4,33408,Tyson Alexander,0.458,20.149,44
22,0,24024,Zach Johnson,0.453,14.503,32
