# HOLES(7),# OF HOLES,# OF PUTTS,# OF SHOTS(5),%(11),%(4),%(7),AVG,AVG DTP(5),AVG(0),AVG(1),AVG(10),AVG(12),AVG(13),AVG(2),AVG(3),AVG(6),AVG(8),AVG(9),BIRDIE CONVERSION,FAIRWAYS HIT(11),GIR PUTTS,GREENS HIT,GREENS HIT(7),LOW TOTAL PUTTS,MEASURED ROUNDS(1),MEASURED ROUNDS(12),MEASURED ROUNDS(2),MEASURED ROUNDS(3),MEASURED ROUNDS(6),MEASURED ROUNDS(8),MEASURED ROUNDS(9),MISSED GIR(4),MOVEMENT,MOVEMENT(1),MOVEMENT(10),MOVEMENT(11),MOVEMENT(12),MOVEMENT(13),MOVEMENT(14),MOVEMENT(2),MOVEMENT(3),MOVEMENT(4),MOVEMENT(5),MOVEMENT(6),MOVEMENT(7),MOVEMENT(8),MOVEMENT(9),PAR OR BETTER(4),PLAYER,PLAYER_ID,POSSIBLE FAIRWAYS(11),RANK,RANK(0),RANK(1),RANK(10),RANK(11),RANK(12),RANK(13),RANK(2),RANK(3),RANK(4),RANK(5),RANK(6),RANK(7),RANK(8),RANK(9),RELATIVE/PAR(7),SCRAMBLING RANK(5),SG:APR(8),SG:ARG(8),SG:OTT(8),TOTAL ADJUSTMENT(0),TOTAL DISTANCE (FEET)(5),TOTAL DISTANCE(10),TOTAL DRIVES(10),TOTAL PUTTS,TOTAL ROUNDS,TOTAL ROUNDS(0),TOTAL ROUNDS(13),TOTAL SG:APP(6),TOTAL SG:ARG(3),TOTAL SG:OTT(9),TOTAL SG:P(12),TOTAL SG:PUTTING(1),TOTAL SG:PUTTING(2),TOTAL SG:T(12),TOTAL SG:T2G(12),TOTAL STROKES(0),TOTAL STROKES(13)
792.0,792.0,1293.0,246.0,66.45%,59.38%,67.68%,1.633,"7' 2""",71.358,-0.455,286.2,-0.245,70.38,-0.455,0.282,0.44,0.21,-0.512,27.80%,404.0,954.0,536.0,536.0,23.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,256.0,-1.0,4.0,-1.0,1.0,17.0,22.0,13.0,4.0,-6.0,-3.0,12.0,36.0,22.0,19.0,0.0,152.0,Chez Reavie,26476,608.0,147.0,126.0,161.0,168.0,21.0,131.0,114.0,161.0,26.0,103.0,40.0,21.0,49.0,73.0,163.0,-0.25,103.0,0.44,0.282,-0.512,47.186,1760.667,25183.0,88.0,1293.0,44.0,48.0,48.0,17.152,10.994,-19.958,-17.758,-17.758,-17.758,-9.569,8.187,3378.0,3378.0
900.0,900.0,1468.0,323.0,69.62%,63.32%,67.89%,1.631,"6' 8""",71.326,-0.533,288.1,0.129,70.49,-0.533,0.23,0.431,0.661,0.0,26.64%,479.0,1092.0,611.0,611.0,24.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,289.0,0.0,5.0,2.0,-1.0,16.0,12.0,12.0,5.0,-2.0,4.0,-3.0,-5.0,3.0,-1.0,1.0,183.0,Ryan Moore,26596,688.0,143.0,119.0,166.0,164.0,7.0,89.0,129.0,166.0,38.0,33.0,8.0,24.0,44.0,27.0,102.0,-0.24,33.0,0.431,0.23,0.0,44.295,2146.167,28805.0,100.0,1468.0,50.0,53.0,53.0,21.143,11.25,0.004,-26.093,-26.093,-26.093,6.322,32.413,3736.0,3736.0
684.0,684.0,1137.0,198.0,62.07%,56.45%,72.81%,1.662,"8' 5""",70.619,-0.636,310.9,0.288,69.49,-0.636,-0.18,0.41,0.924,0.694,30.32%,324.0,880.0,498.0,498.0,26.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,186.0,-1.0,-4.0,-1.0,3.0,0.0,-6.0,-2.0,-4.0,-1.0,-2.0,-2.0,2.0,0.0,-1.0,-3.0,105.0,Jhonattan Vegas,27064,522.0,171.0,46.0,173.0,11.0,70.0,74.0,18.0,173.0,139.0,145.0,157.0,26.0,2.0,15.0,8.0,-0.29,145.0,0.41,-0.18,0.694,46.39,1670.083,23632.0,76.0,1137.0,38.0,41.0,41.0,13.537,-5.933,22.897,-20.997,-20.997,-20.997,9.505,30.501,2849.0,2849.0
954.0,954.0,1560.0,291.0,55.93%,56.39%,66.35%,1.635,"7' 9""",71.539,-0.086,301.5,-0.362,70.68,-0.086,-0.361,0.018,-0.276,0.067,31.44%,415.0,1126.0,633.0,633.0,25.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,321.0,-1.0,-6.0,-8.0,0.0,-3.0,-2.0,0.0,-6.0,0.0,-11.0,-5.0,-6.0,0.0,-3.0,3.0,181.0,Luke List,27129,742.0,151.0,146.0,114.0,70.0,145.0,140.0,149.0,114.0,162.0,146.0,109.0,100.0,83.0,135.0,88.0,-0.3,146.0,0.018,-0.361,0.067,45.573,2267.25,31956.0,106.0,1560.0,53.0,53.0,53.0,0.863,-16.969,3.154,-4.042,-4.042,-4.042,-16.993,-12.953,3746.0,3746.0
864.0,864.0,1406.0,265.0,54.68%,57.63%,69.68%,1.627,"7' 8""",71.001,-0.043,303.3,0.177,69.94,-0.043,-0.133,0.36,0.22,-0.006,30.45%,362.0,1057.0,602.0,602.0,26.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,262.0,1.0,-14.0,6.0,-2.0,-8.0,-9.0,-9.0,-14.0,-2.0,-3.0,-3.0,-10.0,-1.0,-1.0,4.0,151.0,David Skinns,27139,662.0,137.0,88.0,109.0,53.0,156.0,86.0,57.0,109.0,130.0,132.0,97.0,32.0,14.0,71.0,103.0,-0.28,132.0,0.36,-0.133,-0.006,54.073,2023.5,29118.0,96.0,1406.0,48.0,51.0,51.0,15.459,-5.733,-0.263,-1.863,-1.863,-1.863,7.602,9.464,3567.0,3567.0
774.0,774.0,1251.0,225.0,58.70%,56.11%,66.15%,1.616,"6' 11""",71.502,-0.281,294.3,-0.381,70.41,-0.281,-0.018,0.047,-0.1,-0.129,30.98%,351.0,900.0,512.0,512.0,24.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,262.0,1.0,6.0,-1.0,-5.0,-12.0,-6.0,-11.0,6.0,0.0,-3.0,-1.0,-21.0,-16.0,-23.0,-5.0,147.0,Kevin Streelman,27214,598.0,113.0,140.0,142.0,130.0,117.0,142.0,116.0,142.0,99.0,154.0,20.0,92.0,91.0,111.0,121.0,-0.29,154.0,0.047,-0.018,-0.129,50.079,1564.25,25012.0,85.0,1251.0,43.0,46.0,46.0,1.802,-0.684,-4.901,-10.688,-10.688,-10.688,-14.469,-3.782,3239.0,3239.0
1026.0,1098.0,1767.0,348.0,64.81%,68.65%,68.91%,1.609,"7' 0""",70.05,0.145,293.4,1.065,69.28,0.145,0.422,0.329,0.919,0.168,28.99%,512.0,1341.0,753.0,707.0,24.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,319.0,-4.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,6.0,3.0,1.0,-4.0,7.0,0.0,5.0,219.0,Alex Noren,27349,790.0,99.0,9.0,69.0,135.0,36.0,13.0,8.0,69.0,6.0,3.0,24.0,43.0,26.0,16.0,62.0,-0.27,3.0,0.329,0.422,0.168,47.048,2447.583,33448.0,114.0,1767.0,61.0,61.0,61.0,17.128,21.931,8.729,7.557,7.557,7.557,55.358,47.802,4226.0,4226.0
1206.0,1278.0,2015.0,416.0,65.92%,63.26%,65.92%,1.577,"7' 3""",70.323,0.357,291.6,0.946,69.81,0.357,0.19,0.35,0.588,0.048,32.22%,617.0,1445.0,835.0,795.0,22.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,411.0,-3.0,-3.0,0.0,4.0,2.0,4.0,4.0,-3.0,0.0,3.0,-7.0,17.0,13.0,2.0,-4.0,260.0,Brian Harman,27644,936.0,21.0,22.0,30.0,148.0,26.0,19.0,48.0,30.0,49.0,36.0,47.0,37.0,98.0,39.0,90.0,-0.31,36.0,0.35,0.19,0.048,34.611,3015.75,39073.0,134.0,2015.0,71.0,67.0,67.0,22.385,12.182,3.081,22.874,22.874,22.874,60.535,37.661,4677.0,4677.0
756.0,756.0,1234.0,269.0,61.86%,55.24%,62.17%,1.632,"8' 10""",72.962,-0.206,281.9,-1.732,72.0,-0.206,-0.062,-0.904,-1.526,-0.56,27.23%,360.0,852.0,470.0,470.0,24.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,286.0,-1.0,3.0,-1.0,2.0,-1.0,-2.0,-1.0,3.0,17.0,5.0,2.0,0.0,7.0,0.0,-3.0,158.0,Brandt Snedeker,27649,582.0,146.0,174.0,133.0,173.0,73.0,174.0,176.0,133.0,112.0,159.0,168.0,175.0,163.0,173.0,165.0,-0.22,159.0,-0.904,-0.062,-0.56,43.302,2367.75,23677.0,84.0,1234.0,42.0,45.0,45.0,-35.242,-2.428,-21.836,-8.032,-8.032,-8.032,-67.536,-59.507,3240.0,3240.0
666.0,666.0,1104.0,189.0,53.55%,51.26%,64.26%,1.658,"7' 9""",73.114,-0.616,282.5,-2.146,71.95,-0.616,-0.099,-0.368,-1.531,-1.063,28.27%,279.0,769.0,428.0,428.0,23.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,238.0,-1.0,-4.0,-3.0,-3.0,-2.0,-1.0,-3.0,-4.0,0.0,-2.0,5.0,20.0,6.0,-2.0,-1.0,122.0,Camilo Villegas,27770,521.0,168.0,177.0,170.0,171.0,163.0,177.0,174.0,170.0,122.0,175.0,109.0,146.0,134.0,174.0,176.0,-0.24,175.0,-0.368,-0.099,-1.063,47.683,1470.5,20908.0,74.0,1104.0,37.0,41.0,41.0,-11.42,-3.071,-32.963,-19.082,-19.082,-19.082,-66.534,-47.455,2950.0,2950.0
792.0,792.0,1275.0,223.0,60.46%,64.59%,67.55%,1.61,"6' 7""",71.144,0.191,288.8,-0.08,70.13,0.191,0.398,-0.273,-0.271,-0.396,28.09%,370.0,953.0,535.0,535.0,24.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,257.0,-1.0,2.0,-3.0,1.0,-2.0,-9.0,-3.0,2.0,0.0,-3.0,0.0,1.0,-6.0,-6.0,0.0,166.0,Martin Laird,27936,612.0,104.0,100.0,56.0,161.0,95.0,114.0,81.0,56.0,10.0,22.0,5.0,131.0,52.0,134.0,157.0,-0.25,22.0,-0.273,0.398,-0.396,47.781,1473.5,25125.0,87.0,1275.0,44.0,47.0,47.0,-10.649,15.526,-15.447,7.445,7.445,7.445,-3.109,-10.554,3296.0,3296.0
1026.0,1098.0,1703.0,360.0,60.75%,64.44%,63.55%,1.551,"7' 4""",70.836,0.614,301.4,0.592,69.8,0.614,0.223,-0.374,-0.022,0.128,33.43%,486.0,1200.0,697.0,652.0,22.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,374.0,0.0,2.0,-7.0,1.0,0.0,-7.0,-2.0,2.0,0.0,-2.0,2.0,3.0,-6.0,3.0,-1.0,241.0,Jason Day,28089,800.0,6.0,71.0,5.0,72.0,86.0,41.0,46.0,5.0,39.0,23.0,56.0,149.0,147.0,99.0,76.0,-0.34,23.0,-0.374,0.223,0.128,63.014,2639.167,34357.0,114.0,1703.0,61.0,61.0,61.0,-19.092,11.389,6.541,31.33,31.33,31.33,30.182,-1.147,4258.0,4258.0
990.0,1026.0,1620.0,320.0,62.66%,65.45%,66.67%,1.579,"6' 10""",69.429,0.275,319.3,1.896,69.38,0.275,0.303,0.397,1.621,0.921,34.57%,480.0,1177.0,677.0,660.0,23.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,330.0,3.0,-12.0,-1.0,3.0,0.0,7.0,0.0,-12.0,18.0,0.0,1.0,-2.0,8.0,1.0,0.0,216.0,Rory McIlroy,28237,766.0,25.0,3.0,47.0,2.0,61.0,3.0,12.0,47.0,22.0,12.0,13.0,27.0,72.0,2.0,2.0,-0.34,12.0,0.397,0.303,0.921,2.586,2183.25,35127.0,110.0,1620.0,57.0,55.0,55.0,19.846,15.135,46.059,13.73,13.73,13.73,94.782,81.055,3816.0,3816.0
1170.0,1170.0,1877.0,394.0,62.36%,63.04%,66.24%,1.604,"7' 5""",71.154,-0.127,296.9,-0.002,70.29,-0.127,0.018,0.187,0.125,-0.08,29.88%,565.0,1376.0,775.0,775.0,22.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,395.0,1.0,9.0,-2.0,-1.0,-7.0,2.0,1.0,9.0,-14.0,-8.0,-28.0,-13.0,-12.0,-13.0,5.0,249.0,Seamus Power,28252,906.0,82.0,102.0,117.0,114.0,63.0,107.0,102.0,117.0,89.0,41.0,68.0,66.0,86.0,86.0,116.0,-0.27,41.0,0.187,0.018,-0.08,55.981,2915.5,38599.0,130.0,1877.0,65.0,65.0,65.0,11.757,1.163,-5.049,-7.998,-7.998,-7.998,-0.113,7.884,4569.0,4569.0
720.0,720.0,1182.0,230.0,54.18%,55.39%,62.64%,1.642,"7' 10""",72.937,-0.327,305.3,-1.501,71.95,-0.327,-0.567,-0.618,-1.174,0.011,27.39%,298.0,816.0,451.0,451.0,24.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,269.0,-1.0,-8.0,2.0,2.0,-3.0,-2.0,-2.0,-8.0,-7.0,-8.0,3.0,-1.0,-4.0,-1.0,10.0,149.0,Ryan Brehm,28420,550.0,158.0,173.0,148.0,41.0,159.0,172.0,174.0,148.0,174.0,157.0,120.0,171.0,159.0,170.0,97.0,-0.25,157.0,-0.618,-0.567,0.011,42.289,1802.0,24426.0,80.0,1182.0,40.0,43.0,43.0,-20.409,-18.695,0.357,-10.776,-10.776,-10.776,-49.52,-38.746,3094.0,3094.0
756.0,756.0,1213.0,226.0,67.35%,64.14%,66.80%,1.604,"7' 3""",70.919,0.269,291.0,0.463,70.07,0.269,0.264,0.093,0.195,-0.163,30.02%,392.0,897.0,505.0,505.0,24.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,251.0,1.0,-5.0,-7.0,0.0,-3.0,-6.0,-1.0,-5.0,0.0,0.0,5.0,-5.0,-6.0,0.0,0.0,161.0,Nate Lashley,28775,582.0,82.0,82.0,50.0,153.0,18.0,51.0,73.0,50.0,27.0,28.0,47.0,83.0,67.0,77.0,128.0,-0.27,28.0,0.093,0.264,-0.163,38.371,1632.833,24448.0,84.0,1213.0,42.0,45.0,45.0,3.445,9.763,-6.019,9.937,9.937,9.937,17.143,7.205,3153.0,3153.0
738.0,738.0,1172.0,305.0,61.23%,61.40%,61.38%,1.588,"7' 4""",71.126,-0.448,299.2,-0.175,70.8,-0.448,0.635,-0.409,0.273,0.047,29.27%,349.0,804.0,453.0,453.0,24.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,285.0,6.0,-5.0,-3.0,1.0,-4.0,-3.0,-5.0,-5.0,0.0,-2.0,2.0,0.0,-3.0,1.0,-4.0,175.0,Webb Simpson,29221,570.0,42.0,99.0,160.0,92.0,80.0,125.0,155.0,160.0,2.0,65.0,56.0,158.0,169.0,67.0,91.0,-0.27,65.0,-0.409,0.635,0.047,13.16,2239.583,24533.0,82.0,1172.0,41.0,41.0,41.0,-16.346,25.397,1.866,-17.915,-17.915,-17.915,-6.998,10.916,2903.0,2903.0
1008.0,1080.0,1710.0,331.0,63.44%,65.23%,65.48%,1.583,"7' 3""",70.036,0.551,298.5,0.752,69.69,0.551,0.144,-0.113,0.201,0.17,30.93%,491.0,1246.0,709.0,660.0,23.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,348.0,8.0,-8.0,-4.0,-4.0,-6.0,-3.0,0.0,-8.0,5.0,0.0,11.0,-2.0,-4.0,3.0,-1.0,227.0,Billy Horschel,29420,774.0,34.0,8.0,13.0,96.0,50.0,30.0,31.0,13.0,55.0,15.0,47.0,119.0,111.0,76.0,61.0,-0.29,15.0,-0.113,0.144,0.17,20.146,2403.917,33431.0,112.0,1710.0,60.0,59.0,59.0,-5.786,7.367,8.671,28.082,28.082,28.082,38.333,10.251,4112.0,4112.0
648.0,648.0,1049.0,223.0,60.60%,56.25%,60.49%,1.619,"7' 11""",73.096,0.185,285.3,-1.882,72.13,0.185,-0.51,-0.702,-2.067,-0.856,26.85%,303.0,706.0,392.0,392.0,21.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,256.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,Kevin Kisner,29478,500.0,124.0,176.0,57.0,169.0,90.0,175.0,177.0,57.0,172.0,150.0,129.0,172.0,174.0,177.0,174.0,-0.23,150.0,-0.702,-0.51,-0.856,37.725,1773.333,20538.0,72.0,1049.0,36.0,39.0,39.0,-23.866,-17.336,-29.09,6.285,6.285,6.285,-64.003,-70.29,2813.0,2813.0
1098.0,1134.0,1834.0,333.0,58.14%,58.53%,69.03%,1.617,"7' 0""",70.216,-0.197,308.0,1.194,69.63,-0.197,0.361,0.865,1.391,0.166,31.87%,493.0,1372.0,779.0,758.0,24.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,340.0,-4.0,-4.0,-5.0,0.0,1.0,-3.0,-3.0,-4.0,2.0,2.0,1.0,0.0,-3.0,0.0,1.0,199.0,Tony Finau,29725,848.0,117.0,16.0,131.0,29.0,121.0,8.0,25.0,131.0,15.0,110.0,24.0,3.0,23.0,6.0,63.0,-0.31,110.0,0.865,0.361,0.166,38.01,2332.417,37573.0,122.0,1834.0,63.0,65.0,65.0,47.556,19.839,9.107,-10.828,-10.828,-10.828,65.688,76.515,4526.0,4526.0
774.0,810.0,1313.0,272.0,63.04%,61.72%,66.93%,1.621,"7' 8""",70.591,-0.01,292.9,0.502,70.0,-0.01,0.462,0.107,0.512,-0.058,27.64%,377.0,961.0,542.0,518.0,22.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,256.0,-18.0,-4.0,-3.0,3.0,0.0,-10.0,-3.0,-4.0,0.0,-1.0,-3.0,-7.0,-8.0,-4.0,-3.0,158.0,C.T. Pan,29908,598.0,128.0,43.0,101.0,141.0,56.0,47.0,66.0,101.0,4.0,57.0,97.0,82.0,60.0,44.0,112.0,-0.27,57.0,0.107,0.462,-0.058,25.431,2082.0,25188.0,86.0,1313.0,45.0,43.0,43.0,4.616,19.877,-2.491,-0.437,-0.437,-0.437,21.579,22.017,3010.0,3010.0
