PLAYER_ID,RANK,MOVEMENT,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,TOTAL SG:PUTTING,TOTAL STROKES,TOTAL ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL ADJUSTMENT,TOTAL SG:APP,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,TOTAL SG:OTT,SG:OTT,SG:APR,SG:ARG,PAR OR BETTER,MISSED GIR,TOTAL DISTANCE,TOTAL DRIVES,TOTAL SG:ARG,FAIRWAYS HIT,POSSIBLE FAIRWAYS
30927,108,3,Brendon Todd,-0.018,-1.27,-24.352,23.081,70.0,23.081,4998.0,71.0,63.69%,814.0,1278.0,-0.29,51.432,-12.226,"7' 1""",3289.667,467.0,61.0,-34.3,-0.49,-0.175,0.317,286.0,464.0,39614.0,142.0,22.175,692.0,990.0
31323,156,0,Gary Woodland,-0.687,-33.685,-24.939,-8.746,49.0,-8.746,3712.0,52.0,62.71%,587.0,936.0,-0.29,13.874,-2.778,"9' 4""",3070.75,328.0,177.0,-3.1,-0.063,-0.057,-0.389,174.0,349.0,32496.0,104.0,-19.075,372.0,718.0
31646,121,-5,Emiliano Grillo,-0.136,-8.276,-13.316,5.04,61.0,5.04,4602.0,65.0,65.13%,762.0,1170.0,-0.29,35.723,15.648,"8' 8""",3396.417,392.0,147.0,0.866,0.014,0.257,-0.489,230.0,408.0,37815.0,130.0,-29.842,577.0,908.0
32070,160,-14,Rafael Campos,-0.738,-21.404,-14.348,-7.059,29.0,-7.059,2682.0,38.0,68.42%,468.0,684.0,-0.27,37.148,0.015,"8' 1""",1343.333,167.0,136.0,-4.599,-0.159,0.001,-0.337,124.0,216.0,22879.0,75.0,-9.764,311.0,524.0
32102,157,-2,Rickie Fowler,-0.689,-38.61,-36.219,-2.39,56.0,-2.39,4557.0,64.0,63.48%,697.0,1098.0,-0.27,52.39,-16.558,"7' 7""",2758.75,362.0,111.0,-16.877,-0.301,-0.296,-0.05,234.0,401.0,36378.0,122.0,-2.801,516.0,856.0
32367,76,11,Jorge Campillo,0.269,10.238,19.877,-9.64,38.0,-9.64,3068.0,44.0,67.05%,531.0,792.0,-0.28,39.551,6.393,"6' 7""",1581.667,240.0,38.0,-1.544,-0.041,0.168,0.395,165.0,261.0,25870.0,87.0,15.027,375.0,602.0
32640,98,-8,Troy Merritt,0.066,2.967,9.627,-6.661,45.0,-6.661,3990.0,57.0,65.95%,641.0,972.0,-0.31,69.676,11.828,"6' 10""",2003.25,294.0,77.0,-7.456,-0.166,0.263,0.117,201.0,331.0,31614.0,108.0,5.256,496.0,750.0
32757,102,5,Patton Kizzire,0.03,0.968,13.216,-12.248,32.0,-12.248,2861.0,41.0,72.22%,494.0,684.0,-0.3,60.873,17.816,"7' 7""",1241.167,164.0,101.0,-1.139,-0.036,0.557,-0.108,113.0,190.0,22518.0,75.0,-3.462,326.0,528.0
32791,116,-17,K.H. Lee,-0.091,-3.748,-5.93,2.181,41.0,2.181,3504.0,50.0,64.25%,532.0,828.0,-0.28,46.292,-13.045,"7' 1""",1919.75,270.0,52.0,1.55,0.038,-0.318,0.136,184.0,296.0,27633.0,92.0,5.564,397.0,633.0
32839,7,-3,Hideki Matsuyama,1.283,65.42,77.17,-11.749,51.0,-11.749,3973.0,57.0,66.47%,682.0,1026.0,-0.29,30.239,18.609,"7' 0""",2450.0,349.0,2.0,16.798,0.329,0.365,0.819,237.0,344.0,33893.0,114.0,41.75,482.0,800.0
