3Putts_AVG,Driver_Distance_AVG,Fairway%,GIR%,GIR_RELATIVE/PAR,GIR_off_Fairway%,GIR_on_Fairway%,PLAYER,PLAYER_ID,Par3_AVG,Par4_AVG,Par5_AVG,Putting_AVG,Putting_Birdie_Conversions,Putts_Overall_AVG,REMOVE10a,REMOVE10b,REMOVE10c,REMOVE10d,REMOVE11a,REMOVE11b,REMOVE11c,REMOVE11d,REMOVE12a,REMOVE12b,REMOVE12c,REMOVE12d,REMOVE12e,REMOVE13a,REMOVE13b,REMOVE13c,REMOVE13d,REMOVE13e,REMOVE14a,REMOVE14b,REMOVE14c,REMOVE14d,REMOVE15a,REMOVE15b,REMOVE15c,REMOVE15d,REMOVE16a,REMOVE16b,REMOVE16c,REMOVE16d,REMOVE17a,REMOVE17b,REMOVE17c,REMOVE17d,REMOVE18a,REMOVE18b,REMOVE18c,REMOVE18d,REMOVE19a,REMOVE19b,REMOVE19c,REMOVE19d,REMOVE1a,REMOVE1b,REMOVE1c,REMOVE1d,REMOVE20a,REMOVE20b,REMOVE20c,REMOVE20d,REMOVE21a,REMOVE21b,REMOVE21c,REMOVE21d,REMOVE21e,REMOVE21f,REMOVE2a,REMOVE2b,REMOVE2c,REMOVE2d,REMOVE3a,REMOVE3b,REMOVE3c,REMOVE3d,REMOVE4a,REMOVE4b,REMOVE4c,REMOVE4d,REMOVE5a,REMOVE5b,REMOVE5c,REMOVE5d,REMOVE6a,REMOVE6b,REMOVE6c,REMOVE6d,REMOVE7a,REMOVE7b,REMOVE7c,REMOVE7d,REMOVE8a,REMOVE8b,REMOVE8c,REMOVE8d,REMOVE9a,REMOVE9b,REMOVE9c,REMOVE9d,SG_APP_AVG,SG_ARG_AVG,SG_DRIVE_AVG,SG_PUTTING_AVG,SG_TOTAL_AVG,Scrambling%,Scrambling_Rough%,Scrambling_Sand%,Strokes_Adj_AVG,Total_Putts_AVG
0.36,303.3,58.54%,65.06%,-0.28,55.28%,74.20%,Taylor Moore,49947,3.07,4.05,4.6,1.762,29.69%,1.6,101.0,-4.0,1067.0,232.0,99.0,6.0,1424.0,808.0,72.0,12.0,1987.0,69.0,23.0,115.0,-7.0,4882.0,35.278,69.0,116.0,-1.0,71.0,127.0,109.0,-1.0,45.0,88.0,88.0,-2.0,260.0,434.0,138.0,-1.0,-19.285,61.0,76.0,0.0,3.614,61.0,58.0,0.0,11.322,61.0,146.0,-3.0,25.0,69.0,80.0,0.0,5.339,61.0,106.0,-1.0,1.004,-4.335,5.339,61.0,116.0,-4.0,562.0,960.0,52.0,1.0,41861.0,138.0,46.0,-13.0,220.0,398.0,142.0,-6.0,417.0,562.0,114.0,-16.0,808.0,1242.0,72.0,11.0,1987.0,1242.0,112.0,1.0,865.0,282.0,140.0,-9.0,2950.0,728.0,-0.316,0.059,0.186,0.088,0.016,59.91%,55.91%,51.14%,71.265,28.8
0.4,292.5,72.00%,67.90%,-0.26,50.20%,76.85%,Sepp Straka,49960,3.01,4.01,4.71,1.771,28.52%,1.617,169.0,-5.0,961.0,204.0,115.0,-3.0,1364.0,770.0,118.0,1.0,1834.0,63.0,24.0,59.0,11.0,4440.0,16.733,63.0,101.0,-1.0,53.0,93.0,164.0,-1.0,27.0,66.0,89.0,-6.0,218.0,364.0,32.0,0.0,19.063,53.0,144.0,-1.0,-10.775,53.0,38.0,0.0,17.508,53.0,124.0,6.0,25.0,63.0,113.0,-1.0,-4.261,53.0,58.0,0.0,21.549,25.81,-4.261,53.0,1.0,1.0,635.0,882.0,147.0,-3.0,36860.0,126.0,135.0,-14.0,124.0,247.0,79.0,7.0,488.0,635.0,41.0,0.0,770.0,1134.0,117.0,2.0,1834.0,1134.0,35.0,15.0,759.0,252.0,64.0,-14.0,2720.0,678.0,0.36,-0.203,0.33,-0.08,0.407,59.89%,56.99%,40.91%,70.742,29.11
0.37,302.2,54.55%,61.04%,-0.35,50.65%,72.64%,S.H. Kim,50188,3.06,4.03,4.51,1.724,36.17%,1.546,20.0,1.0,1118.0,248.0,11.0,3.0,1383.0,802.0,5.0,0.0,2032.0,73.0,21.0,82.0,1.0,5329.0,63.944,76.0,62.0,-1.0,109.0,182.0,19.0,0.0,59.0,95.0,53.0,4.0,316.0,512.0,151.0,-1.0,-24.457,65.0,36.0,0.0,15.415,65.0,135.0,-2.0,-12.034,65.0,144.0,-1.0,27.0,73.0,18.0,0.0,32.852,65.0,83.0,0.0,11.776,-21.075,32.852,65.0,158.0,-1.0,552.0,1012.0,62.0,1.0,44126.0,146.0,126.0,9.0,233.0,460.0,167.0,-2.0,401.0,552.0,170.0,2.0,802.0,1314.0,4.0,0.0,2032.0,1314.0,99.0,0.0,961.0,314.0,105.0,5.0,3250.0,806.0,-0.376,0.237,-0.185,0.505,0.181,61.72%,59.89%,62.11%,70.96,27.84
0.57,311.7,57.76%,66.92%,-0.32,60.16%,76.29%,Hayden Springer,50484,3.07,4.0,4.51,1.74,34.22%,1.591,20.0,1.0,766.0,170.0,42.0,2.0,922.0,530.0,50.0,3.0,1260.0,44.0,21.0,87.0,-1.0,3287.0,49.735,47.0,75.0,-1.0,76.0,130.0,103.0,-1.0,19.0,37.0,95.0,4.0,156.0,262.0,127.0,-1.0,-6.97,37.0,109.0,0.0,-1.795,37.0,37.0,0.0,12.393,37.0,33.0,3.0,25.0,44.0,53.0,0.0,8.002,37.0,69.0,0.0,11.633,3.628,8.002,37.0,124.0,-1.0,350.0,606.0,9.0,1.0,27114.0,87.0,10.0,0.0,154.0,256.0,91.0,0.0,267.0,350.0,59.0,3.0,530.0,792.0,50.0,2.0,1260.0,792.0,112.0,1.0,608.0,198.0,45.0,5.0,1913.0,478.0,-0.188,-0.049,0.335,0.216,0.314,59.54%,58.46%,51.35%,70.994,28.64
0.57,299.7,60.36%,64.52%,-0.29,53.11%,75.20%,Justin Suh,50493,3.07,4.06,4.61,1.769,31.04%,1.617,109.0,2.0,729.0,158.0,109.0,5.0,904.0,511.0,118.0,0.0,1281.0,44.0,24.0,160.0,-1.0,3328.0,50.024,47.0,158.0,-1.0,60.0,114.0,95.0,-1.0,24.0,46.0,173.0,0.0,149.0,281.0,174.0,-1.0,-29.435,39.0,170.0,-1.0,-18.153,39.0,132.0,-1.0,-6.92,39.0,33.0,3.0,25.0,44.0,4.0,0.0,24.937,39.0,162.0,-1.0,-29.571,-54.51,24.937,39.0,95.0,4.0,367.0,608.0,85.0,2.0,26370.0,88.0,81.0,6.0,128.0,241.0,118.0,1.0,276.0,367.0,124.0,6.0,511.0,792.0,117.0,1.0,1281.0,792.0,112.0,1.0,601.0,196.0,150.0,0.0,1998.0,492.0,-0.755,-0.465,-0.177,0.639,-0.758,53.02%,52.63%,52.17%,71.873,29.11
0.44,302.6,54.77%,65.78%,-0.28,50.80%,77.84%,Adrien Dumont de Chassart,50497,3.11,4.03,4.63,1.769,30.00%,1.633,119.0,7.0,824.0,178.0,109.0,5.0,1047.0,592.0,148.0,-1.0,1470.0,50.0,21.0,164.0,0.0,3749.0,66.629,53.0,125.0,-1.0,69.0,124.0,176.0,-1.0,17.0,48.0,169.0,0.0,166.0,308.0,157.0,-1.0,-16.481,41.0,152.0,-1.0,-10.782,41.0,160.0,-1.0,-17.667,41.0,92.0,3.0,22.0,50.0,142.0,-1.0,-10.97,41.0,171.0,-1.0,-55.9,-44.93,-10.97,41.0,155.0,-2.0,379.0,692.0,59.0,-1.0,30255.0,100.0,121.0,10.0,159.0,313.0,58.0,-1.0,295.0,379.0,97.0,5.0,592.0,900.0,147.0,-1.0,1470.0,900.0,155.0,0.0,684.0,220.0,105.0,5.0,2241.0,556.0,-0.402,-0.263,-0.431,-0.268,-1.363,53.90%,55.65%,35.42%,71.993,29.4
0.25,293.3,71.54%,65.34%,-0.34,50.60%,73.38%,Collin Morikawa,50525,3.0,3.97,4.55,1.711,34.86%,1.554,53.0,-24.0,929.0,204.0,4.0,-2.0,1268.0,741.0,8.0,-1.0,1762.0,63.0,21.0,4.0,0.0,4378.0,14.054,63.0,10.0,-1.0,63.0,95.0,61.0,-1.0,37.0,66.0,17.0,10.0,254.0,393.0,40.0,-1.0,18.003,53.0,12.0,0.0,20.444,53.0,16.0,0.0,26.246,53.0,173.0,-1.0,16.0,63.0,66.0,0.0,8.017,53.0,5.0,0.0,72.725,64.708,8.017,53.0,3.0,-1.0,631.0,882.0,137.0,-6.0,36953.0,126.0,127.0,21.0,127.0,251.0,153.0,-5.0,463.0,631.0,108.0,0.0,741.0,1134.0,8.0,-1.0,1762.0,1134.0,17.0,-6.0,755.0,252.0,9.0,2.0,2694.0,678.0,0.34,0.386,0.495,0.151,1.372,64.63%,66.32%,56.06%,69.715,27.97
0.67,310.7,57.89%,68.27%,-0.19,50.76%,80.17%,Vincent Norrman,51070,3.06,4.13,4.68,1.863,23.33%,1.712,159.0,2.0,669.0,143.0,178.0,-1.0,1030.0,553.0,178.0,-1.0,1387.0,45.0,23.0,171.0,0.0,3229.0,25.964,45.0,137.0,-1.0,45.0,83.0,177.0,-1.0,12.0,36.0,174.0,-4.0,134.0,257.0,145.0,-1.0,-14.348,42.0,159.0,-1.0,-13.561,42.0,45.0,0.0,11.777,42.0,14.0,2.0,30.0,45.0,178.0,-1.0,-40.326,42.0,170.0,-1.0,-56.454,-16.13,-40.326,42.0,123.0,7.0,363.0,627.0,11.0,0.0,27960.0,90.0,123.0,-5.0,134.0,264.0,16.0,-5.0,291.0,363.0,34.0,-6.0,553.0,810.0,178.0,-1.0,1387.0,810.0,99.0,-11.0,560.0,183.0,175.0,-1.0,2000.0,484.0,-0.342,-0.323,0.28,-0.96,-1.344,52.14%,54.22%,33.33%,72.333,30.82
0.48,295.5,62.41%,69.07%,-0.26,58.33%,78.38%,Ryo Hisatsune,51287,3.04,3.98,4.64,1.771,28.72%,1.628,133.0,12.0,994.0,214.0,115.0,-3.0,1321.0,746.0,138.0,-3.0,1758.0,60.0,24.0,72.0,-10.0,4480.0,53.625,64.0,71.0,-1.0,76.0,129.0,142.0,-1.0,19.0,41.0,104.0,-11.0,197.0,334.0,65.0,-1.0,10.761,51.0,43.0,0.0,10.474,51.0,95.0,0.0,0.758,51.0,73.0,0.0,29.0,60.0,121.0,-1.0,-7.604,51.0,75.0,0.0,14.39,21.992,-7.604,51.0,62.0,0.0,518.0,830.0,124.0,0.0,35160.0,119.0,16.0,-3.0,182.0,312.0,45.0,-6.0,406.0,518.0,19.0,-7.0,746.0,1080.0,138.0,-5.0,1758.0,1080.0,70.0,-9.0,809.0,266.0,13.0,-2.0,2677.0,672.0,0.211,0.205,0.015,-0.149,0.282,58.98%,58.91%,46.34%,70.838,29.3
0.52,293.7,64.48%,68.20%,-0.29,52.61%,78.12%,Nico Echavarria,51349,3.04,4.01,4.61,1.75,31.03%,1.62,109.0,2.0,949.0,206.0,63.0,0.0,1246.0,712.0,126.0,1.0,1691.0,58.0,23.0,144.0,-2.0,4355.0,78.248,62.0,54.0,-1.0,74.0,122.0,71.0,-1.0,40.0,73.0,150.0,-1.0,187.0,332.0,130.0,-1.0,-11.506,49.0,98.0,0.0,-0.646,49.0,117.0,0.0,-4.233,49.0,52.0,2.0,30.0,58.0,127.0,-1.0,-8.416,49.0,150.0,-1.0,-24.8,-16.387,-8.416,49.0,40.0,0.0,521.0,808.0,134.0,-2.0,34066.0,116.0,88.0,6.0,151.0,287.0,53.0,-1.0,407.0,521.0,36.0,4.0,712.0,1044.0,126.0,-1.0,1691.0,1044.0,70.0,3.0,765.0,252.0,64.0,7.0,2641.0,658.0,-0.235,-0.013,-0.086,-0.172,-0.506,56.33%,60.66%,54.79%,71.504,29.16
0.4,304.9,61.98%,66.03%,-0.28,54.89%,76.33%,Jimmy Stanger,51600,3.1,4.01,4.49,1.796,30.84%,1.633,10.0,3.0,624.0,139.0,153.0,1.0,747.0,416.0,148.0,-1.0,1029.0,35.0,23.0,132.0,-2.0,2737.0,47.247,39.0,94.0,-2.0,51.0,89.0,142.0,-1.0,19.0,41.0,106.0,2.0,126.0,214.0,171.0,-1.0,-14.826,26.0,137.0,0.0,-4.416,26.0,17.0,0.0,11.2,26.0,124.0,-6.0,14.0,35.0,162.0,0.0,-11.866,26.0,163.0,-1.0,-19.893,-8.029,-11.866,26.0,70.0,1.0,300.0,484.0,46.0,0.0,21035.0,69.0,53.0,7.0,101.0,184.0,89.0,0.0,229.0,300.0,89.0,5.0,416.0,630.0,147.0,-1.0,1029.0,630.0,148.0,-2.0,503.0,162.0,64.0,7.0,1610.0,401.0,-0.57,-0.17,0.431,-0.456,-0.765,58.88%,57.30%,46.34%,71.391,29.4
0.51,302.7,59.88%,67.63%,-0.3,55.44%,78.99%,Sahith Theegala,51634,3.02,4.01,4.55,1.748,32.89%,1.601,53.0,-24.0,1011.0,222.0,56.0,3.0,1468.0,840.0,75.0,-5.0,1988.0,69.0,24.0,22.0,-8.0,4826.0,25.899,69.0,48.0,-1.0,75.0,123.0,168.0,-1.0,24.0,60.0,81.0,-17.0,242.0,402.0,28.0,0.0,23.835,61.0,118.0,0.0,-5.013,61.0,23.0,0.0,24.448,61.0,58.0,10.0,35.0,69.0,25.0,0.0,25.687,61.0,11.0,0.0,68.97,43.284,25.687,61.0,101.0,3.0,576.0,962.0,57.0,-2.0,41767.0,138.0,40.0,-8.0,214.0,386.0,33.0,-9.0,455.0,576.0,48.0,-11.0,840.0,1242.0,75.0,-2.0,1988.0,1242.0,44.0,6.0,845.0,280.0,64.0,-14.0,2970.0,740.0,0.391,-0.082,0.401,0.421,1.131,60.20%,60.98%,40.00%,70.317,28.81
